ID,degree,coordinates
43490,313,"139.4649487,35.53898121"
27017,306,"139.6507129,35.68215948"
30154,305,"139.6381256,35.64687005"
27561,303,"139.6070025,35.69722391"
30657,303,"139.6572866,35.73783977"
37850,293,"139.5404373,35.65276807"
44529,293,"139.4342272,35.62162696"
48300,293,"139.6117987,35.46351347"
29341,291,"139.6055519,35.63169093"
43779,289,"139.4565402,35.57848649"
32747,283,"139.6688077,35.79063555"
35013,283,"139.769647,35.78788634"
26430,281,"139.6712381,35.68951083"
26711,281,"139.6397615,35.70590766"
41073,276,"139.4614633,35.70546324"
22902,275,"139.8304067,35.69892926"
40797,275,"139.5110479,35.70104903"
34226,273,"139.8011804,35.74801588"
36480,273,"139.8693279,35.69695556"
28070,272,"139.6610513,35.66186772"
23172,270,"139.8359308,35.683108"
42281,269,"139.4092385,35.70922959"
11567,267,"139.6921517,35.59146391"
39936,266,"139.4987436,35.66587847"
29050,263,"139.6607187,35.60385406"
45476,263,"139.338942,35.68494712"
25810,261,"139.6521803,35.72152248"
41561,261,"139.4610123,35.72848357"
29849,259,"139.6271702,35.66082868"
49525,259,"139.6467885,35.44797706"
40522,258,"139.4387389,35.68629901"
36737,257,"139.8847711,35.73064287"
44035,256,"139.3851262,35.59473131"
31108,255,"139.5905576,35.73212866"
35696,255,"139.854527,35.72662459"
41816,255,"139.4723993,35.75927471"
49266,252,"139.6380277,35.44704104"
9598,251,"139.7134883,35.59052764"
35263,250,"139.8666858,35.77777795"
29590,249,"139.601761,35.66326425"
36986,249,"139.8970821,35.69835739"
11099,248,"139.6905137,35.56424052"
39020,244,"139.5542133,35.73813701"
19820,243,"139.798086,35.72266805"
37557,243,"139.5663243,35.66351504"
31350,242,"139.585516,35.75775182"
45001,242,"139.3949259,35.67172644"
27258,241,"139.6265447,35.68332672"
45716,240,"139.3394155,35.63446915"
27798,237,"139.6095267,35.71886129"
21794,236,"139.8065515,35.70603732"
25359,233,"139.8011918,35.6828198"
32464,233,"139.6506132,35.77688066"
42511,230,"139.4089357,35.69313515"
44759,230,"139.4929795,35.63292914"
46388,230,"139.3274935,35.65639684"
23724,227,"139.8314344,35.63884089"
33953,227,"139.8385353,35.77510687"
41300,227,"139.4988877,35.72664408"
49014,227,"139.631663,35.44226483"
38075,225,"139.5771967,35.63488352"
10851,223,"139.7133435,35.54796544"
13027,223,"139.6897372,35.73287496"
50041,223,"139.6650858,35.42202442"
31571,221,"139.6310894,35.75931657"
39450,220,"139.5222183,35.78146073"
39670,220,"139.5199827,35.75399834"
19577,213,"139.7658736,35.74816947"
45213,212,"139.403683,35.65279468"
39230,210,"139.5356108,35.73019027"
19021,202,"139.8014049,35.73482344"
11300,201,"139.6745243,35.58645444"
21558,201,"139.82015,35.71217015"
44236,201,"139.4484397,35.64415389"
30354,200,"139.6595186,35.75814865"
46587,199,"139.2941787,35.63310795"
36207,197,"139.8466707,35.70243341"
30853,196,"139.6183899,35.74402599"
42012,196,"139.400839,35.72538485"
43029,195,"139.4265412,35.75049748"
49818,195,"139.648318,35.43338639"
9347,190,"139.7591421,35.60166381"
25549,190,"139.815395,35.68444016"
47468,188,"139.279023,35.78618122"
50701,187,"139.614541,35.38469281"
46770,183,"139.2793114,35.67541436"
34730,181,"139.7758682,35.76415097"
48007,181,"139.6221012,35.45638927"
35441,178,"139.8726048,35.74972744"
50363,178,"139.6138863,35.40923243"
1528,176,null
1566,176,null
1535,175,null
1536,174,null
1570,174,null
50875,174,"139.6010079,35.37199473"
1526,173,null
1527,173,null
1009,172,null
1529,171,null
22627,171,"139.813861,35.71975672"
1530,170,null
1537,170,null
1542,170,null
1565,170,null
1571,170,null
1593,170,null
48470,170,"139.6153173,35.44880289"
1532,169,null
1534,169,null
1557,169,null
42834,169,"139.3560332,35.70771773"
1531,168,null
1564,167,null
1569,167,null
1543,166,null
1556,166,null
1644,166,null
1560,165,null
1568,165,null
1572,164,null
1902,164,null
1561,163,null
1579,163,null
21357,163,"139.8310292,35.7175019"
1538,162,null
1643,161,null
1559,160,null
47203,160,"139.3153234,35.76399039"
1544,159,null
1563,159,null
1600,159,null
1603,159,null
1607,159,null
1650,158,null
1663,158,null
1533,157,null
1567,157,null
1598,157,null
1641,157,null
1673,156,null
1539,155,null
1555,155,null
1541,154,null
1548,154,null
1578,154,null
42665,154,"139.3821591,35.70648178"
1577,153,null
1601,153,null
1606,153,null
1652,153,null
1540,152,null
1562,152,null
1550,151,null
50514,151,"139.622196,35.39987651"
1612,150,null
1724,150,null
1549,149,null
1624,149,null
47043,149,"139.3363283,35.73600741"
1620,148,null
43177,148,"139.3838793,35.75043498"
1667,147,null
1545,146,null
1585,146,null
1602,146,null
1614,146,null
1574,145,null
1651,145,null
1592,144,null
1623,144,null
1649,144,null
1653,144,null
1758,144,null
21194,144,"139.8181591,35.73293302"
50185,144,"139.6284277,35.41827301"
1589,143,null
1605,143,null
1611,143,null
1654,143,null
1658,142,null
1591,141,null
1599,141,null
1609,141,null
1610,141,null
1616,141,null
1640,141,null
1645,141,null
1655,141,null
1735,141,null
1597,140,null
1619,140,null
1625,140,null
1639,140,null
1725,140,null
1584,139,null
1594,139,null
1628,139,null
1761,139,null
1769,139,null
1798,139,null
1819,139,null
1648,138,null
47690,138,"139.2938931,35.73264141"
1664,137,null
51012,137,"139.6238674,35.43589949"
1634,136,null
1636,136,null
1734,136,null
1608,135,null
1656,135,null
1669,135,null
1554,134,null
1671,134,null
1622,133,null
1768,133,null
1642,132,null
1733,132,null
1588,131,null
1604,131,null
1646,131,null
1659,131,null
1672,130,null
1765,130,null
1587,129,null
1674,129,null
1749,129,null
1807,129,null
1547,128,null
1617,128,null
1755,128,null
1797,128,null
1800,128,null
1820,128,null
1821,128,null
1826,128,null
1618,127,null
1647,127,null
1668,127,null
1670,127,null
1685,127,null
1729,127,null
1665,126,null
1901,126,null
1621,125,null
1683,125,null
1895,125,null
1630,124,null
1762,124,null
46894,124,"139.3492783,35.77424167"
1711,123,null
1759,123,null
1760,123,null
1772,123,null
1783,123,null
1728,122,null
1843,122,null
1558,121,null
1657,121,null
1822,121,null
1627,120,null
1633,120,null
1638,120,null
1143,120,null
1631,119,null
1781,119,null
1828,119,null
1575,118,null
1666,118,null
1675,117,null
1680,117,null
1756,117,null
1771,117,null
1613,116,null
1801,116,null
1829,116,null
1552,115,null
1590,115,null
1595,115,null
1737,115,null
1823,115,null
1576,114,null
1615,114,null
1757,114,null
1805,114,null
1506,113,null
1676,113,null
1710,113,null
1793,113,null
1917,113,null
1551,112,null
1637,112,null
1845,112,null
1900,112,null
1906,111,null
1914,111,null
1923,111,null
1516,110,null
1596,110,null
1908,110,null
1912,110,null
1925,110,null
1583,109,null
1661,109,null
1687,109,null
1794,109,null
1553,108,null
1626,108,null
1635,108,null
1791,108,null
1913,108,null
1679,107,null
1712,107,null
1720,107,null
1804,107,null
1839,107,null
1896,107,null
1904,107,null
1915,107,null
46158,107,"139.2252029,35.66491326"
1742,106,null
1796,106,null
1846,106,null
1922,106,null
1513,105,null
1662,105,null
1773,105,null
1808,105,null
1510,104,null
1586,104,null
1678,104,null
1721,104,null
1740,104,null
1763,104,null
1770,104,null
1699,103,null
1827,103,null
1847,103,null
1894,103,null
1582,102,null
1743,102,null
1799,102,null
1842,102,null
1848,102,null
1910,102,null
1921,102,null
1629,101,null
1715,101,null
1780,101,null
1840,101,null
1727,100,null
1745,100,null
1830,100,null
1520,99,null
1660,99,null
1928,99,null
1517,98,null
1897,98,null
1898,98,null
1919,98,null
1546,98,null
49623,98,"139.6616087,35.43815423"
1708,97,null
1717,97,null
1811,97,null
1907,97,null
1573,96,null
1686,96,null
1706,96,null
1815,96,null
1841,96,null
1911,96,null
1731,95,null
1739,95,null
1918,95,null
1973,95,null
1704,94,null
1705,94,null
1809,94,null
1932,94,null
1505,93,null
1722,93,null
1744,93,null
1767,93,null
1784,93,null
1795,93,null
1835,93,null
1903,93,null
1920,93,null
1514,92,null
1581,92,null
1632,92,null
1838,92,null
1909,92,null
1688,91,null
1736,91,null
1741,91,null
1701,90,null
1764,90,null
1803,90,null
1817,90,null
1883,90,null
1501,89,null
1511,89,null
1681,89,null
1700,89,null
1818,89,null
1869,89,null
1703,88,null
1714,88,null
1766,88,null
1882,88,null
1886,88,null
1824,87,null
1834,87,null
1499,86,null
1504,86,null
1810,86,null
1515,85,null
1927,85,null
1930,85,null
1782,84,null
1833,84,null
47552,84,"139.2223056,35.81280012"
1677,83,null
1689,83,null
1719,83,null
1867,83,null
1934,83,null
1939,83,null
1866,82,null
1916,82,null
1496,81,null
1709,81,null
1785,81,null
1816,81,null
1825,81,null
1580,80,null
1690,80,null
1862,80,null
1899,80,null
1498,79,null
1500,79,null
1707,79,null
1751,79,null
1812,79,null
1860,79,null
1861,79,null
1885,79,null
1497,78,null
1695,78,null
1857,78,null
1850,77,null
1853,77,null
1940,77,null
47280,77,"139.226359,35.7586995"
1512,76,null
1684,76,null
1694,75,null
1702,75,null
1777,75,null
1779,75,null
1905,75,null
1924,75,null
1933,75,null
1156,74,null
1168,73,null
1713,73,null
1738,73,null
1747,73,null
1849,73,null
1718,72,null
1730,72,null
1837,72,null
1931,72,null
1942,72,null
1855,72,null
47762,72,"139.1950951,35.73292595"
1522,71,null
1692,71,null
1753,71,null
1814,71,null
1875,71,null
1509,70,null
1697,70,null
1892,70,null
1858,70,null
1507,69,null
1726,69,null
1776,69,null
1888,69,null
1723,69,null
1746,69,null
1836,69,null
1698,68,null
1750,68,null
1864,68,null
1926,67,null
1929,67,null
1787,67,null
1521,66,null
1283,66,null
1832,66,null
1856,66,null
1508,66,null
1806,65,null
1863,65,null
1748,65,null
1775,64,null
1284,64,null
1851,63,null
1877,63,null
1333,63,null
1844,62,null
1502,61,null
1716,61,null
1936,61,null
1943,61,null
1165,61,null
1966,60,null
1246,59,null
1792,59,null
1813,59,null
1964,59,null
1854,59,null
1790,58,null
1503,57,null
1519,57,null
1893,57,null
1970,57,null
1778,56,null
1367,55,null
1871,55,null
1891,55,null
1969,55,null
1279,55,null
1446,54,null
1693,54,null
1802,54,null
1682,54,null
1938,53,null
1696,52,null
1289,52,null
1884,52,null
1163,52,null
1518,51,null
1876,51,null
1874,50,null
1935,50,null
1691,48,null
1732,48,null
1359,48,null
1873,47,null
1372,47,null
1754,45,null
1237,45,null
1277,45,null
1297,45,null
1878,45,null
1262,44,null
1384,44,null
1887,44,null
1495,44,null
1870,43,null
1872,43,null
1263,43,null
1865,42,null
1965,42,null
1831,42,null
1524,41,null
168,41,null
1961,41,null
1752,41,null
1786,41,null
1950,40,null
1376,40,null
1859,39,null
1960,39,null
781,39,null
47801,39,"139.0554067,35.82256402"
1271,38,null
769,38,null
1212,37,null
761,37,null
1890,37,null
1944,37,null
1953,36,null
1955,36,null
1370,36,null
1391,35,null
1957,35,null
1774,35,null
1298,35,null
731,34,null
49486,34,null
1880,34,null
1946,34,null
1967,33,null
1947,33,null
760,33,null
1948,32,null
1462,32,null
47821,32,null
1003,31,null
1788,31,null
1789,31,null
49498,31,null
1346,30,null
1369,29,null
1937,29,null
1852,28,null
1954,28,null
1951,28,null
1453,27,null
50344,26,null
1523,25,null
1445,25,null
1487,25,null
849,25,null
47826,25,"139.1046656,35.72499797"
1889,24,null
1435,24,null
1466,24,null
1941,23,null
1945,22,null
1956,21,null
1463,20,null
1971,20,null
1441,19,null
1448,19,null
1968,19,null
45462,19,null
50129,19,null
1454,19,null
47748,19,null
1879,18,null
1881,18,null
1962,18,null
1460,17,null
1281,17,null
1280,16,null
775,16,null
1963,16,null
1455,16,null
1476,16,null
1377,15,null
947,14,null
1461,14,null
461,13,null
49994,13,null
48707,12,null
950,12,null
32715,11,null
941,11,null
1464,11,null
462,11,null
1491,11,null
47197,11,null
1959,11,null
1952,11,null
1468,10,null
948,10,null
1474,10,null
1459,9,null
47279,9,null
1972,9,null
36402,9,null
1949,9,null
457,9,null
1477,9,null
1958,8,null
30844,8,null
361,8,null
1492,8,null
1868,8,null
40777,7,null
37552,7,null
35984,7,null
955,7,null
50360,7,null
49937,7,null
444,7,null
50036,7,null
451,6,null
50035,6,null
50033,6,null
49151,6,null
49995,5,null
33696,5,null
48708,5,null
43484,5,null
972,5,null
46582,5,null
272,4,null
23478,4,null
1481,4,null
31075,4,null
50037,4,null
443,4,null
472,3,null
49515,3,null
471,3,null
1475,3,null
33358,3,null
34989,3,null
27001,2,null
40508,2,null
1493,2,null
20169,2,null
952,2,null
43723,2,null
2003,1,null
2476,1,null
2938,1,null
3396,1,null
3863,1,null
4212,1,null
4675,1,null
5179,1,null
5669,1,null
6136,1,null
6531,1,null
6870,1,null
7218,1,null
7551,1,null
7986,1,null
8015,1,null
8444,1,null
8842,1,null
9158,1,null
9348,1,null
9599,1,null
9926,1,null
10265,1,null
10629,1,null
10852,1,null
11100,1,null
11301,1,null
11568,1,null
11914,1,null
12357,1,null
12805,1,null
13028,1,null
13426,1,null
13838,1,null
14250,1,null
14591,1,null
14977,1,null
15381,1,null
15856,1,null
16348,1,null
16709,1,null
17115,1,null
17539,1,null
17992,1,null
18024,1,null
18444,1,null
18820,1,null
19022,1,null
19365,1,null
19578,1,null
19821,1,null
20202,1,null
20617,1,null
21051,1,null
21195,1,null
21358,1,null
21559,1,null
21795,1,null
22122,1,null
22457,1,null
22628,1,null
22903,1,null
23173,1,null
23498,1,null
23725,1,null
24041,1,null
24362,1,null
24793,1,null
25127,1,null
25360,1,null
25550,1,null
25811,1,null
26150,1,null
26431,1,null
26712,1,null
27018,1,null
27259,1,null
27562,1,null
27799,1,null
28071,1,null
28429,1,null
28788,1,null
29051,1,null
29342,1,null
29591,1,null
29850,1,null
30155,1,null
30355,1,null
30658,1,null
30854,1,null
31109,1,null
31351,1,null
31572,1,null
31890,1,null
32232,1,null
32465,1,null
32748,1,null
33083,1,null
33396,1,null
33727,1,null
33954,1,null
34227,1,null
34550,1,null
34731,1,null
35014,1,null
35264,1,null
35442,1,null
35697,1,null
36011,1,null
36208,1,null
36481,1,null
36738,1,null
36987,1,null
37315,1,null
37558,1,null
37851,1,null
38076,1,null
38409,1,null
38777,1,null
39021,1,null
39231,1,null
39451,1,null
39671,1,null
39937,1,null
40265,1,null
40523,1,null
40798,1,null
41074,1,null
41301,1,null
41562,1,null
41817,1,null
42013,1,null
42282,1,null
42512,1,null
42666,1,null
42835,1,null
43030,1,null
43178,1,null
43491,1,null
43780,1,null
44036,1,null
44237,1,null
44530,1,null
44760,1,null
45002,1,null
45214,1,null
45477,1,null
45717,1,null
46052,1,null
46159,1,null
46389,1,null
46588,1,null
46771,1,null
46895,1,null
47044,1,null
47204,1,null
47281,1,null
47469,1,null
47553,1,null
47691,1,null
47763,1,null
47802,1,null
47827,1,null
48008,1,null
48301,1,null
48471,1,null
48788,1,null
49015,1,null
49267,1,null
49526,1,null
49624,1,null
49819,1,null
50042,1,null
50186,1,null
50364,1,null
50515,1,null
50702,1,null
50876,1,null
1,1,null
505,1,null
1006,1,null
1525,1,null
